"first_column","second_column"
7,-0.00493612195562636
1,0.00800322098460658
2,0.0333123724678454
3,-0.0249275600112988
4,0.0190629877728291
5,0.0147768846706044
6,-0.0421983243848354
7,-0.0176398769878332
8,0.00397239065196236
9,-0.029735613459626
10,-0.0131259860928883
11,-0.044021839236748
12,-0.0090551562482903
13,0.0234950733387969
14,0.0149479415923487
15,0.039392439115947
16,-0.014782038153609
17,-0.0477599495841435
18,-0.00953649054842484
19,-0.0305219719664766
20,-0.0244659955751637
21,-0.0134955392182143
22,-0.00386078810689745
23,0.00385390987897938
24,-0.0146206255567836
25,-0.0445890379912401
26,0.0019200327843954
27,-0.0417638694299611
28,-0.0194213924560699
29,-0.00502791967180025
30,0.02462945905759
31,0.0278146887110201
32,-0.0294883170271155
33,0.00446368515127203
34,-0.0304738814093806
35,-0.00536163078815271
36,0.0318227556032476
37,0.039818827722771
38,0.0211799747591244
39,-0.0108135867104376
40,0.0074386806724793
41,-0.0143929334283284
42,0.0197390814601187
43,-0.00608224807549332
44,-0.00242808760610779
45,-0.0212249610222763
46,0.0240785667855433
47,-0.0270074617243488
48,0.0158678864165538
49,0.0136496765988728
50,0.0719549648001864
51,-0.0161592919749358
52,0.0126877878935908
53,0.01505163466393
54,-0.0177612066418202
55,-0.0184427449884287
56,-0.00170212984285538
57,0.0149551261256437
58,-0.00664327481879234
59,0.0793344012920551
60,-0.0349951360826525
61,-0.0152125557596576
62,0.0461379018889372
63,0.00254245050718136
64,-0.0105598237004562
65,0.0782212359780832
66,0.032278017506025
67,0.00519130980881835
68,0.0034171695595697
69,-0.0362161241244274
70,0.0682084337235358
71,0.00056629728993618
72,0.00737855682850137
73,0.017661367872888
74,0.0122333884890958
75,-0.0429717466997858
76,0.00797716298121201
77,0.0643062943091753
78,0.0573807020749464
79,0.0287637619429423
80,0.0255179208169316
81,0.00197440920030315
82,-0.0203575011843958
83,-0.0320566593531117
84,0.0263448285171256
85,-0.0056222746664424
86,-0.0322997895855383
87,0.00618019968602074
88,0.00440990087223573
89,-0.078728884828304
90,-0.0142760555082267
91,0.0892789776126528
92,0.0515533991619162
93,-0.00423736093446023
94,0.00430494497820291
95,-0.0312857878366937
96,-0.0218130414885097
97,0.0213470170950542
98,-0.0621825655705617
99,0.0199434154665186
100,-0.0474770393566351
